id,index_key,level,scope,snap_date,value,components,note
91,greed,stock,HK00700,2026-06-28,46.42,"{""volatility_pct"": 82.11, ""momentum_pct"": 10.28, ""amount_pct"": 82.56}",
92,heat,stock,HK00700,2026-06-28,82.56,"{""volatility_pct"": 82.11, ""momentum_pct"": 10.28, ""amount_pct"": 82.56}",
93,fear,stock,HK09988,2026-06-28,73.04,"{""volatility_pct"": 48.07, ""momentum_pct"": 1.99, ""amount_pct"": 96.32}",
94,greed,stock,HK09988,2026-06-28,49.15,"{""volatility_pct"": 48.07, ""momentum_pct"": 1.99, ""amount_pct"": 96.32}",
95,heat,stock,HK09988,2026-06-28,96.32,"{""volatility_pct"": 48.07, ""momentum_pct"": 1.99, ""amount_pct"": 96.32}",
102,fear,stock,510300,2026-06-28,82.61,"{""volatility_pct"": 89.71, ""momentum_pct"": 24.49, ""amount_pct"": 89.91, ""fund_flow_main"": {""raw"": 187967008.0, ""pct"": null}, ""margin_buy"": {""raw"": 163152430.0, ""pct"": null}}",
103,greed,stock,510300,2026-06-28,57.2,"{""volatility_pct"": 89.71, ""momentum_pct"": 24.49, ""amount_pct"": 89.91, ""fund_flow_main"": {""raw"": 187967008.0, ""pct"": null}, ""margin_buy"": {""raw"": 163152430.0, ""pct"": null}}",
104,heat,stock,510300,2026-06-28,89.91,"{""volatility_pct"": 89.71, ""momentum_pct"": 24.49, ""amount_pct"": 89.91, ""fund_flow_main"": {""raw"": 187967008.0, ""pct"": null}, ""margin_buy"": {""raw"": 163152430.0, ""pct"": null}}",
105,fear,stock,510500,2026-06-28,68.16,"{""volatility_pct"": 88.71, ""momentum_pct"": 52.39, ""amount_pct"": 86.52, ""fund_flow_main"": {""raw"": 251151696.0, ""pct"": null}, ""margin_buy"": {""raw"": 154802983.0, ""pct"": null}}",
106,greed,stock,510500,2026-06-28,69.45,"{""volatility_pct"": 88.71, ""momentum_pct"": 52.39, ""amount_pct"": 86.52, ""fund_flow_main"": {""raw"": 251151696.0, ""pct"": null}, ""margin_buy"": {""raw"": 154802983.0, ""pct"": null}}",
107,heat,stock,510500,2026-06-28,86.52,"{""volatility_pct"": 88.71, ""momentum_pct"": 52.39, ""amount_pct"": 86.52, ""fund_flow_main"": {""raw"": 251151696.0, ""pct"": null}, ""margin_buy"": {""raw"": 154802983.0, ""pct"": null}}",
108,fear,stock,002594,2026-06-28,72.77,"{""volatility_pct"": 39.38, ""momentum_pct"": 1.19, ""amount_pct"": 9.05, ""pe_pct"": 19.56, ""pb_pct"": 27.57}",
109,greed,stock,002594,2026-06-28,14.34,"{""volatility_pct"": 39.38, ""momentum_pct"": 1.19, ""amount_pct"": 9.05, ""pe_pct"": 19.56, ""pb_pct"": 27.57}",
110,heat,stock,002594,2026-06-28,9.05,"{""volatility_pct"": 39.38, ""momentum_pct"": 1.19, ""amount_pct"": 9.05, ""pe_pct"": 19.56, ""pb_pct"": 27.57}",
111,fear,stock,002714,2026-06-28,63.14,"{""volatility_pct"": 58.96, ""momentum_pct"": 52.47, ""amount_pct"": 94.96, ""pe_pct"": 53.79, ""pb_pct"": 0.14}",
