id,sector_name,snap_date,open,high,low,close,pct_chg,volume,amount
5623,半导体,2022-03-24,7444.872,7444.889,7296.118,7310.868,-2.35,668819480.0,26958183000.0
5624,半导体,2022-03-25,7347.961,7411.551,7223.587,7223.604,-1.19,658991240.0,28112741000.0
5625,半导体,2022-03-28,7157.182,7232.403,7096.695,7168.376,-0.76,586329480.0,23677865000.0
5626,半导体,2022-03-29,7192.695,7208.504,6979.094,6990.537,-2.48,684333640.0,28548286000.0
5627,半导体,2022-03-30,7038.721,7155.806,7034.039,7155.806,2.36,690337030.0,29379413000.0
5628,半导体,2022-03-31,7131.184,7131.184,7048.782,7056.599,-1.39,738356220.0,29326561000.0
5629,半导体,2022-04-01,7027.839,7123.235,6971.511,7062.336,0.08,736028520.0,27616659000.0
5630,半导体,2022-04-06,7038.327,7038.327,6886.333,6919.489,-2.02,798581870.0,31438279000.0
5631,半导体,2022-04-07,6887.739,6922.313,6739.592,6740.073,-2.59,818136980.0,27535962000.0
5632,半导体,2022-04-08,6758.87,6785.862,6612.901,6718.402,-0.32,781557030.0,27841198000.0
5633,半导体,2022-04-11,6692.299,6692.299,6386.172,6411.237,-4.57,850245820.0,30719126000.0
5634,半导体,2022-04-12,6405.858,6504.32,6328.651,6504.208,1.45,759753080.0,27714918000.0
5635,半导体,2022-04-13,6470.289,6470.685,6340.725,6340.821,-2.51,646414870.0,22831918000.0
5636,半导体,2022-04-14,6379.704,6499.472,6313.205,6456.296,1.82,729318220.0,31120892000.0
5637,半导体,2022-04-15,6385.377,6457.479,6307.723,6408.566,-0.74,696477140.0,27741801000.0
5638,半导体,2022-04-18,6361.782,6612.335,6348.738,6607.956,3.11,847676850.0,32633879000.0
5639,半导体,2022-04-19,6569.88,6609.055,6469.917,6494.426,-1.72,742410620.0,28169633000.0
5640,半导体,2022-04-20,6500.137,6559.492,6425.846,6445.959,-0.75,726507540.0,26362456000.0
5641,半导体,2022-04-21,6409.88,6546.303,6271.297,6284.849,-2.5,844414290.0,28548864000.0
5642,半导体,2022-04-22,6245.523,6265.907,6102.439,6116.153,-2.68,863428580.0,32348035000.0
5643,半导体,2022-04-25,5972.037,5972.037,5605.313,5605.313,-8.35,1067578540.0,32797329000.0
