id,level,scope,factor,snap_date,raw_value,percentile,window_days,sample_size
330,market,MARKET,margin_balance,2022-12-09,837087050281.0,,250,0
331,market,MARKET,margin_balance,2022-12-08,838135363789.0,,250,0
332,market,MARKET,margin_balance,2022-12-07,837992618109.0,,250,0
333,market,MARKET,margin_balance,2022-12-06,837086720133.0,,250,0
334,market,MARKET,margin_balance,2022-12-05,837256615120.0,,250,0
335,market,MARKET,margin_balance,2022-12-02,832943785826.0,,250,0
336,market,MARKET,margin_balance,2022-12-01,835308899342.0,,250,0
337,market,MARKET,margin_balance,2022-11-30,833908596813.0,,250,0
338,market,MARKET,margin_balance,2022-11-29,837066426765.0,,250,0
339,market,MARKET,margin_balance,2022-11-28,835333126148.0,,250,0
340,market,MARKET,margin_balance,2022-11-25,836197805819.0,,250,0
341,market,MARKET,margin_balance,2022-11-24,840413823275.0,,250,0
342,market,MARKET,margin_balance,2022-11-23,840710854509.0,,250,0
343,market,MARKET,margin_balance,2022-11-22,840902160627.0,,250,0
344,market,MARKET,margin_balance,2022-11-21,842020482712.0,,250,0
345,market,MARKET,margin_balance,2022-11-18,840245584455.0,,250,0
346,market,MARKET,margin_balance,2022-11-17,845248804884.0,,250,0
347,market,MARKET,margin_balance,2022-11-16,843484534305.0,,250,0
348,market,MARKET,margin_balance,2022-11-15,844210774171.0,,250,0
349,market,MARKET,margin_balance,2022-11-14,840664125192.0,,250,0
350,market,MARKET,margin_balance,2022-11-11,840827189689.0,,250,0
351,market,MARKET,margin_balance,2022-11-10,844815149453.0,,250,0
352,market,MARKET,margin_balance,2022-11-09,845271176069.0,,250,0
353,market,MARKET,margin_balance,2022-11-08,845333308330.0,,250,0
354,market,MARKET,margin_balance,2022-11-07,844455077472.0,,250,0
355,market,MARKET,margin_balance,2022-11-04,842087675241.0,,250,0
356,market,MARKET,margin_balance,2022-11-03,841675306433.0,,250,0
357,market,MARKET,margin_balance,2022-11-02,839441784695.0,,250,0
358,market,MARKET,margin_balance,2022-11-01,838260899394.0,,250,0
359,market,MARKET,margin_balance,2022-10-31,835728457481.0,,250,0
360,market,MARKET,margin_balance,2022-10-28,835063774708.0,,250,0
361,market,MARKET,margin_balance,2022-10-27,843114813480.0,,250,0
362,market,MARKET,margin_balance,2022-10-26,844246458369.0,,250,0
363,market,MARKET,margin_balance,2022-10-25,841517157625.0,,250,0
364,market,MARKET,margin_balance,2022-10-24,842416501905.0,,250,0
365,market,MARKET,margin_balance,2022-10-21,841983945710.0,,250,0
366,market,MARKET,margin_balance,2022-10-20,844400904302.0,,250,0
367,market,MARKET,margin_balance,2022-10-19,842174505717.0,,250,0
368,market,MARKET,margin_balance,2022-10-18,841437869325.0,,250,0
369,market,MARKET,margin_balance,2022-10-17,839718074586.0,,250,0
370,market,MARKET,margin_balance,2022-10-14,837674947970.0,,250,0
371,market,MARKET,margin_balance,2022-10-13,836011287702.0,,250,0
372,market,MARKET,margin_balance,2022-10-12,834630428481.0,,250,0
373,market,MARKET,margin_balance,2022-10-11,831677108923.0,,250,0
374,market,MARKET,margin_balance,2022-10-10,831664402855.0,,250,0
375,market,MARKET,margin_balance,2022-09-30,832603958016.0,,250,0
376,market,MARKET,margin_balance,2022-09-29,842620914758.0,,250,0
377,market,MARKET,margin_balance,2022-09-28,845832095922.0,,250,0
378,market,MARKET,margin_balance,2022-09-27,851331860855.0,,250,0
379,market,MARKET,margin_balance,2022-09-26,850843190343.0,,250,0
380,market,MARKET,margin_balance,2022-09-23,853666375671.0,,250,0
381,market,MARKET,margin_balance,2022-09-22,858792843966.0,,250,0
382,market,MARKET,margin_balance,2022-09-21,859840628655.0,,250,0
383,market,MARKET,margin_balance,2022-09-20,860040662753.0,,250,0
384,market,MARKET,margin_balance,2022-09-19,858481992311.0,,250,0
385,market,MARKET,margin_balance,2022-09-16,860454063804.0,,250,0
386,market,MARKET,margin_balance,2022-09-15,864866921514.0,,250,0
387,market,MARKET,margin_balance,2022-09-14,868725907306.0,,250,0
388,market,MARKET,margin_balance,2022-09-13,869493678460.0,,250,0
389,market,MARKET,margin_balance,2022-09-09,867014522164.0,,250,0
390,market,MARKET,margin_balance,2022-09-08,872435391373.0,,250,0
391,market,MARKET,margin_balance,2022-09-07,874008697278.0,,250,0
392,market,MARKET,margin_balance,2022-09-06,872994364879.0,,250,0
393,market,MARKET,margin_balance,2022-09-05,872935510149.0,,250,0
394,market,MARKET,margin_balance,2022-09-02,872393652499.0,,250,0
395,market,MARKET,margin_balance,2022-09-01,873582823873.0,,250,0
396,market,MARKET,margin_balance,2022-08-31,875370909825.0,,250,0
397,market,MARKET,margin_balance,2022-08-30,881512195765.0,,250,0
398,market,MARKET,margin_balance,2022-08-29,883080141012.0,,250,0
399,market,MARKET,margin_balance,2022-08-26,883043509428.0,,250,0
400,market,MARKET,margin_balance,2022-08-25,885887323960.0,,250,0
401,market,MARKET,margin_balance,2022-08-24,887108336770.0,,250,0
402,market,MARKET,margin_balance,2022-08-23,891605413976.0,,250,0
403,market,MARKET,margin_balance,2022-08-22,889502999426.0,,250,0
404,market,MARKET,margin_balance,2022-08-19,887770163405.0,,250,0
405,market,MARKET,margin_balance,2022-08-18,891566160242.0,,250,0
406,market,MARKET,margin_balance,2022-08-17,889361857825.0,,250,0
407,market,MARKET,margin_balance,2022-08-16,888043681811.0,,250,0
408,market,MARKET,margin_balance,2022-08-15,886198218483.0,,250,0
409,market,MARKET,margin_balance,2022-08-12,884403124543.0,,250,0
