id,asset_code,ex_date,record_date,announce_date,per_share_cash,currency,source
301,601088,2021-07-12,,,1.81,CNY,akshare:stock_fhps_detail_em
302,601088,2020-06-15,,,1.26,CNY,akshare:stock_fhps_detail_em
303,688041,2026-06-23,,,0.15,CNY,akshare:stock_fhps_detail_em
304,688041,2026-01-29,,,0.09,CNY,akshare:stock_fhps_detail_em
305,688041,2025-05-16,,,0.17,CNY,akshare:stock_fhps_detail_em
306,688041,2024-06-18,,,0.1101,CNY,akshare:stock_fhps_detail_em
307,688041,2023-06-15,,,0.04,CNY,akshare:stock_fhps_detail_em
308,688111,2025-12-31,,,1.25,CNY,akshare:stock_fhps_detail_em
309,688111,2025-07-11,,,0.89852,CNY,akshare:stock_fhps_detail_em
310,688111,2024-06-28,,,0.87957,CNY,akshare:stock_fhps_detail_em
311,688111,2023-07-10,,,0.72961,CNY,akshare:stock_fhps_detail_em
312,688111,2022-05-26,,,0.7,CNY,akshare:stock_fhps_detail_em
313,688111,2021-06-22,,,0.6,CNY,akshare:stock_fhps_detail_em
314,688111,2020-06-02,,,0.3,CNY,akshare:stock_fhps_detail_em
315,002415,2026-05-20,,,0.75,CNY,akshare:stock_fhps_detail_em
316,002415,2025-10-10,,,0.4,CNY,akshare:stock_fhps_detail_em
317,002415,2025-05-20,,,0.7,CNY,akshare:stock_fhps_detail_em
318,002415,2024-05-21,,,0.9,CNY,akshare:stock_fhps_detail_em
319,002415,2023-05-19,,,0.7,CNY,akshare:stock_fhps_detail_em
320,002415,2022-05-26,,,0.9,CNY,akshare:stock_fhps_detail_em
321,002415,2021-05-28,,,0.8,CNY,akshare:stock_fhps_detail_em
322,002415,2020-05-29,,,0.7,CNY,akshare:stock_fhps_detail_em
323,601127,2026-06-03,,,0.8,CNY,akshare:stock_fhps_detail_em
324,601127,2025-10-30,,,0.31,CNY,akshare:stock_fhps_detail_em
325,601127,2025-05-13,,,0.97,CNY,akshare:stock_fhps_detail_em
326,601127,2024-12-13,,,0.331,CNY,akshare:stock_fhps_detail_em
327,601127,2020-07-22,,,0.04,CNY,akshare:stock_fhps_detail_em
328,601127,2019-06-14,,,0.08,CNY,akshare:stock_fhps_detail_em
329,601127,2018-06-28,,,0.24,CNY,akshare:stock_fhps_detail_em
330,601127,2017-04-24,,,0.3,CNY,akshare:stock_fhps_detail_em
331,000333,2026-06-29,,,3.8,CNY,akshare:stock_fhps_detail_em
